ID,timestamp,X1,X2,X5,X7,X8
6071,29995,60.127,62.487,63.117,61.857,55.397
2125,29995,60.127,62.487,63.117,61.857,55.397
3453,29997,60.127,62.487,63.117,61.857,55.397
4819,29999,60.127,62.487,63.117,61.857,55.397
832,30002,60.127,61.857,63.117,61.857,55.237
6072,30005,60.127,61.857,63.277,62.017,55.237
2126,30005,60.127,61.857,63.277,62.017,55.237
3454,30008,59.647,61.857,63.277,62.017,55.237
4820,30009,59.647,61.857,63.277,62.017,55.237
833,30012,59.647,62.487,63.277,62.017,55.237
6073,30015,59.647,62.487,63.117,61.537,55.237
2127,30016,59.647,62.487,63.117,61.537,55.237
3455,30018,59.647,62.487,63.117,61.537,55.237
4821,30019,59.647,62.487,63.117,61.537,55.237
834,30023,59.647,61.537,63.117,61.537,54.917
6074,30025,59.647,61.537,62.807,61.537,54.917
